solver,N,n_seeds,p_old(eps=0.1),TTE99_old[s],TTE99_corrected[s],CI_lo,CI_hi
Metropolis,8,20,1.000,0.631,0.7416,0.6848,0.7416
Metropolis,12,20,1.000,0.9478,1.174,1.083,1.174
Metropolis,16,20,1.000,1.412,1.602,1.602,1.602
Metropolis,24,20,1.000,2.355,4.046,2.942,4.046
Metropolis,32,20,1.000,3.374,4.853,3.815,4.853
Metropolis,64,20,0.850,25.51,48.34,23.84,74.91
Gibbs,8,20,1.000,0.6504,0.7466,0.6976,0.7466
Gibbs,12,20,1.000,0.6487,0.7863,0.733,0.7863
Gibbs,16,20,1.000,0.6448,0.7903,0.7628,0.7903
Gibbs,24,20,1.000,0.7227,0.8991,0.7821,0.8991
Gibbs,32,20,1.000,0.7654,0.9539,0.8278,0.9539
Gibbs,64,20,0.800,2.916,5.259,2.551,8.475
Simulated Annealing,8,20,1.000,0.9265,1.017,1.017,1.017
Simulated Annealing,12,20,1.000,1.444,1.68,1.551,1.68
Simulated Annealing,16,20,1.000,2.146,2.777,2.365,2.777
Simulated Annealing,24,20,1.000,3.476,5.523,4.348,5.523
Simulated Annealing,32,20,1.000,5.563,7.923,6.744,7.923
Simulated Annealing,64,20,0.900,33.29,71.91,35.64,113.8
FPGA,8,20,1.000,0.006582,0.007222,0.007222,0.007222
FPGA,16,20,1.000,0.02365,0.02832,0.02619,0.02832
FPGA,32,20,1.000,0.1028,0.1401,0.1198,0.1401
FPGA,64,20,0.950,0.8656,2.777,1.452,3.705
Pegasus (+CEM),8,20,1.000,0.4111,0.9903,0.4832,0.9903
Pegasus (+CEM),16,20,1.000,0.2414,0.4665,0.2795,0.7366
Pegasus (+CEM),32,20,1.000,0.506,0.6486,0.5532,0.6486
Pegasus (+CEM),64,20,1.000,0.4663,0.5783,0.5336,0.5783
Zephyr (+CEM),8,20,1.000,1.203,1.892,1.199,1.892
Zephyr (+CEM),16,20,1.000,1.052,1.143,0.6346,1.398
Zephyr (+CEM),32,20,0.950,1.238,1.36,0.8844,2.147
Zephyr (+CEM),64,20,0.950,1.277,1.27,0.9242,1.27
